id,application_status,listing_status,company,role,level,original_url,source_url,source,location,remote_policy,stack,salary,posted_at,found_at,match_score,stage_reached,decision_reason,applied_at,response_at,next_action,next_action_date,cv_version,cover_letter,contact_name,contact_url,verified_at,first_party_verified,apply_verified,last_update,notes
job-0001,applied,unknown,CVAT.ai,Frontend Developer,Middle,https://www.cvat.ai/job/frontend-developer,https://hirify.me/jobs/569412-frontend-developer-react,Hirify,Remote worldwide or Cyprus,Global,JavaScript; React; Web APIs; DOM; Canvas; Web Workers; Git; three.js,Unknown,,2026-08-09,7.5,Applied,,2026-08-09,,follow-up,2026-08-16,frontend-2026-08,no,,,,unknown,unknown,2026-08-16,Application submitted by user; strong UI and open-source fit; stretch requirement: 3+ years of React specifically.
job-0011,applied,unknown,Primer,Join our Talent Community,Unknown,https://jobs.ashbyhq.com/primer.io/6aaaf2e8-a90e-484f-a587-505f200d1927,https://jobs.ashbyhq.com/primer.io/6aaaf2e8-a90e-484f-a587-505f200d1927,Company Careers,Europe,Europe,Frontend; React; TypeScript; UI Engineering,Unknown,,2026-08-09,8,Applied,,2026-08-09,,,,frontend-2026-08,no,,,,unknown,unknown,2026-08-16,Application submitted by user to Primer Talent Community; CV version not confirmed.
job-0012,applied,unknown,Yoko Co,Front-End WordPress Developer,Unknown,https://weworkremotely.com/remote-jobs/yoko-co-front-end-wordpress-developer,https://weworkremotely.com/remote-jobs/yoko-co-front-end-wordpress-developer,We Work Remotely,Anywhere in the World,Global,WordPress; Gutenberg; HTML; CSS; JavaScript; React; Git; GitHub; CI/CD,Unknown,2026-08-04,2026-08-09,7.5,Applied,,2026-08-10,,,,frontend-2026-08,,,,,unknown,unknown,2026-08-16,Application submitted by user; strong markup and frontend overlap; WordPress and Gutenberg are the main stretch.
job-0014,applied,unknown,OnTheGoSystems,AI-Native Software Developer,Unknown,https://weworkremotely.com/remote-jobs/onthegosystems-ai-native-software-developer,https://weworkremotely.com/remote-jobs/onthegosystems-ai-native-software-developer,We Work Remotely,Anywhere in the World,Global,AI; Software Development; SQL; Backend; Automation,Unknown,2026-08-09,2026-08-09,5,Applied,,2026-08-10,,,,frontend-2026-08,,,,,unknown,unknown,2026-08-16,Application submitted by user; broad AI-native software role and a significant stretch beyond the current frontend focus.
job-0016,applied,unknown,Amplemarket,Frontend Software Engineer,Junior/Middle,https://job-boards.greenhouse.io/amplemarket/jobs/4488062101,https://app.welcometothejungle.com/jobs/DfDP1lsv,Welcome to the Jungle,Remote EMEA / LATAM,EMEA,React; JavaScript; HTML; CSS; Ruby on Rails; PostgreSQL; Elasticsearch; Redis,Unknown,,2026-08-09,8.5,Applied,,2026-08-10,,,,frontend-2026-08,,,,,unknown,unknown,2026-08-16,Application submitted by user; official role is remote EMEA/LATAM and does not require experience with the exact stack.
job-0026,applied,open,Sigma Software,Junior JavaScript Developer,Junior,https://career.sigma.software/uk/vacancy/junior-javascript-developer-4/,https://career.sigma.software/uk/vacancy/junior-javascript-developer-4/,Manual,Europe / Albania / Romania / Asia / Uzbekistan / Ukraine,Europe,JavaScript; HTML; CSS; REST APIs; jQuery; Browser Debugging; Event Tracking; AdTech; PHP; Airflow,Unknown,,2026-08-07,8.5,Applied,,2026-08-10,,,,frontend-2026-08,,,,2026-08-21,yes,yes,2026-08-21,Application submitted by user on 2026-08-10; CV version not confirmed. Hirify 816496 is the same AdTech JavaScript integration role; the exact Sigma careers page and Apply route were live on 2026-08-21.
job-0032,applied,unknown,MixRank,"Junior Software Engineer - Remote (Global), Full-Time",Junior,https://app.dover.com/apply/MixRank/52f862a9-5a5a-48b7-aabd-680524a42f51/?rs=76643084,https://hirify.me/jobs/387028-junior-software-engineer,Hirify,Remote worldwide,Global,Python; PostgreSQL; Linux; Git; JavaScript; TypeScript; Rust; SQL,$12K–$24K/year,,2026-08-10,8,Applied,,2026-08-10,,,,frontend-2026-08,,,,,unknown,unknown,2026-08-16,Application submitted by user on 2026-08-10. Global junior generalist role with an explicit frontend/web path; main gaps remain Python/PostgreSQL/Linux.
job-0051,applied,unknown,Storyteller,Content Operations Analyst,Junior,https://storyteller.applytojob.com/apply/lc7mOBzgd9/Content-Operations-Analyst,https://storyteller.applytojob.com/apply/lc7mOBzgd9/Content-Operations-Analyst,Company Careers,Remote worldwide,Global,CMS; Content QA; Publishing Operations; AI Tools; Workflow Automation; Support Triage; SaaS; Browser Tools,"Up to $20,000/year",,2026-08-10,8.5,Applied,,2026-08-10,,,,frontend-2026-08,no,,,,unknown,unknown,2026-08-16,"Application submitted by user on 2026-08-10. Strong overlap with editorial/CMS operations, content QA, AI-assisted workflows and process improvement; availability disclosed as weekdays/evenings plus occasional weekends. Cover letter was sent but the file/text was not archived."
job-0052,applied,unknown,Storyteller,Operations Associate,Associate,https://storyteller.applytojob.com/apply/Sn1A4hvNvv/Operations-Associate,https://storyteller.applytojob.com/apply/Sn1A4hvNvv/Operations-Associate,Company Careers,Remote worldwide,Global,Content QA; CMS; Publishing Workflows; AI Tools; Support Triage; Process Improvement; SaaS,"Up to $20,000/year",,2026-08-10,7.5,Applied,,2026-08-10,,,,frontend-2026-08,no,,,,unknown,unknown,2026-08-16,"Application submitted by user on 2026-08-10. Operations-focused stretch emphasizing editorial accuracy, CMS workflows, QA, issue triage, process improvement and automation. Cover letter was sent but the file/text was not archived."
job-0054,applied,open,SuperPlane,Product Engineer,Middle,https://jobs.ashbyhq.com/superplane/ee9d219f-f5e9-4893-8f1a-7c25b5d20b3e,https://weworkremotely.com/remote-jobs/superplane-product-engineer,We Work Remotely,Europe / LatAm,Europe,TypeScript; React; Go; Python; APIs; AI Tools; Cloud Native,Unknown,,2026-08-10,6,Applied,,2026-08-12,,,,frontend-2026-08,,,,2026-08-12,yes,yes,2026-08-16,Applied after completing the required SuperPlane pull request; first-party listing and Apply route verified on 2026-08-12.
job-0064,applied,unknown,TransPerfect / Avatria,Commerce & Content Front End Technical Consultant,Middle,https://transperfect.recruitee.com/o/commerce-and-content-front-end-technical-consultant-contractor-freelancer,https://hiring.cafe/job/commerce-and-content-front-end-technical-consultant-contractor-w4qaefgq3nzsrln2,HiringCafe,"Belgrade, Serbia / Remote",Serbia,HTML; CSS; JavaScript; TypeScript; React; Next.js; REST APIs; GraphQL; Figma; CMS; Contentful; AEM; Builder.io; GitHub; Docker; CI/CD,$30/hour,,2026-08-10,8.5,Applied,,2026-08-10,,follow-up,2026-08-17,frontend-2026-08,,,,,unknown,unknown,2026-08-16,"Application submitted by user on 2026-08-10. Strong match with CMS/content workflows, componentized UI, React/Next.js, TypeScript and Figma; main stretch is proficiency across multiple SPA frameworks. User confirmed requested hourly rate at $30/hour and used the Figma-to-CMS automation example in the custom implementation answer."
job-0078,applied,unknown,Zoftify — Travel Software Development,Frontend Developer (React),Middle,https://zoftify.bamboohr.com/careers/29/,https://helloworld.rs/posao/Frontend-Developer-React/Zoftify-Travel-Software-Development/706636,HelloWorld.rs,Remote worldwide,Global,React; TypeScript; REST APIs; Figma; CSS; Next.js; Tailwind CSS; Animation,Unknown,,2026-08-11,8.5,Applied,,2026-08-11,,follow-up,2026-08-18,frontend-2026-08,,,,,unknown,unknown,2026-08-16,"Application submitted by user on 2026-08-11. Strong React/TypeScript/Figma fit; transparent about roughly 1 year of hands-on Next.js experience. Desired pay entered as around EUR 1,500 gross/month and negotiable."
job-0079,applied,unknown,Stedi,Frontend Engineer,Middle,https://jobs.ashbyhq.com/Stedi/d0134d3b-915c-439a-994d-28124fa90fe6,https://www.helloworld.rs/posao/Frontend-Engineer/Stedi/705733,HelloWorld.rs,Europe / Remote,Europe,React; Next.js; TypeScript; Figma; Accessibility; UI Testing; CSS-in-JS; SSR,Unknown,,2026-08-11,7.5,Applied,,2026-08-11,,follow-up,2026-08-18,frontend-2026-08,,,,,unknown,unknown,2026-08-16,"Application submitted by user on 2026-08-11 as a deliberate lower-grade stretch. European remote listing; role asks for 4+ years, while application explicitly invited consideration at an earlier level. Strong fit around React/Next.js/TypeScript, accessibility, UI quality, and eliminating repetitive work."
job-0088,applied,unknown,defdone,Software development Frontend Developer,Junior/Middle,https://www.defdone.com/careers-job-post/frontend-developer,https://www.linkedin.com/jobs/view/4449078058/,LinkedIn,"Poznan, Poland / Remote",Unclear,React; Redux; JavaScript; TypeScript; HTML; CSS; REST APIs; Playwright; Node.js,Unknown,,2026-08-11,8.5,Applied,,2026-08-11,,follow-up,2026-08-18,frontend-2026-08,no,,,,unknown,unknown,2026-08-16,"Application submitted by user on 2026-08-11 through defdone's official careers contact form. Strong React/Redux/TypeScript/REST/testing fit; remote B2B setup looks promising, while cross-border contracting from Serbia remains to be confirmed if they respond."
job-0094,applied,unknown,SolutionLab,Front-end developer (React),Junior/Middle,https://solutionlab.net/careers/front-end-developer-react,https://www.linkedin.com/jobs/view/4450540694/,LinkedIn,"Vilnius, Lithuania / Flexible",Unclear,React; React Native; JavaScript; TypeScript; REST APIs; TDD,"€1,000–€5,000+ net/month",,2026-08-11,8.5,Applied,,2026-08-11,,follow-up,2026-08-18,frontend-2026-08,no,,,,unknown,unknown,2026-08-16,Application submitted by user on 2026-08-11 through SolutionLab's general contact form because the vacancy/application links and careers page were broken or empty. LinkedIn profile URL was included in the message; cross-border employment from Serbia remains to be confirmed if they respond.
job-0124,apply,open,micro1,Frontend Software Engineer,Unknown,https://jobs.micro1.ai/post/aa022f40-ca04-4794-8791-5f9378400f4f,https://himalayas.app/companies/micro1/jobs/frontend-software-engineer-3853610194,Himalayas,Worldwide,Global,TypeScript; CSS3; Responsive Web Design; Component Style Guides; Design Systems; Accessibility; UI Performance Optimization,$40 - $50/hour,2026-08-04,2026-08-11,9,None,,,,complete micro1 AI interview,,,,,,2026-08-11,yes,yes,2026-08-11,Micro1 emails on 2026-08-05 and 2026-08-06 confirm an incomplete application and pending AI interview; do not submit a duplicate application.
job-0130,applied,open,Quinncia,Frontend Developer,Junior/Middle,,https://hirify.me/jobs/656267-frontend-developer-ai,Hirify,Remote worldwide,Global,JavaScript; TypeScript; React; Next.js; GraphQL; Jest; Webpack; Sass,$20K-$35K/year,,2026-08-12,8.5,Applied,,2026-08-12,,,,frontend-2026-08,,,,2026-08-16,unknown,unknown,2026-08-16,"Application submitted by user on 2026-08-12. Reclassified 2026-08-16: original_url pointed to Wellfound's own native listing, not a verified external employer/ATS page (see docs/sources/wellfound.md); first_party_verified/apply_verified reset to unknown, original_url cleared."
