id,application_status,listing_status,company,role,level,original_url,source_url,source,location,remote_policy,stack,salary,posted_at,found_at,match_score,stage_reached,decision_reason,applied_at,response_at,next_action,next_action_date,cv_version,cover_letter,contact_name,contact_url,verified_at,first_party_verified,apply_verified,last_update,notes
job-0001,applied,unknown,CVAT.ai,Frontend Developer,Middle,https://www.cvat.ai/job/frontend-developer,https://hirify.me/jobs/569412-frontend-developer-react,Hirify,Remote worldwide or Cyprus,Global,JavaScript; React; Web APIs; DOM; Canvas; Web Workers; Git; three.js,Unknown,,2026-08-09,7.5,Applied,,2026-08-09,,follow-up,2026-08-16,cv-frontend-2026-08,no,,,,unknown,unknown,2026-08-09,Application submitted by user; strong UI and open-source fit; stretch requirement: 3+ years of React specifically.
job-0002,not_started,closed,iLogos Game Studios,Middle Pixi.JS/Playable Ads Developer,Middle,https://careers.ilogos.biz/jobs/8066179-middle-pixi-js-playable-ads-developer,https://hirify.me/jobs/737608-middle-pixi-js-playable-ads-developer,Hirify,Remote worldwide,Global,JavaScript; TypeScript; PixiJS; WebGL; Canvas; GSAP; Playable Ads,Unknown,,2026-08-09,7,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-09,Official source is closed; strong playable-ads domain fit but no longer actionable.
job-0003,not_started,unknown,Almedia,Junior Frontend Engineer,Junior,https://jobs.ashbyhq.com/almedia/4f22740a-06a6-4683-977d-9e84303b4501,https://hirify.me/jobs/714967-frontend-developer-react,Hirify,"Berlin, Germany",On-site,React; TypeScript; NestJS,€60K–€75K + equity,,2026-08-09,,None,geo_restriction,,,,,,,,,,unknown,unknown,2026-08-11,Hard office requirement in Berlin; not compatible with current location.
job-0004,not_started,closed,Primer,Frontend Engineer,Unknown,https://jobs.ashbyhq.com/primer.io/0b4ac571-bebc-48f4-a16b-b10475b4991a,https://hirify.me/jobs/652587-frontend-engineer-typescript,Hirify,Hungary / Poland / Portugal / Romania / South Africa,Country-specific,TypeScript; Web Components; Accessibility; Frontend Performance,Unknown,,2026-08-09,,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-09,Specific Frontend Engineer role is closed; Primer Talent Community remains open separately.
job-0005,not_started,closed,Geniusee,Middle React Engineer,Middle,https://jobs.dou.ua/companies/geniusee/vacancies/366379/?from=widget_similar,https://hirify.me/jobs/762937-middle-react-engineer,Hirify,Remote worldwide,Global,JavaScript; TypeScript; React; TanStack Query; GraphQL; Vite; Tailwind CSS; Testing,Unknown,2026-07-20,2026-08-09,,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-09,Hirify still surfaces this role but the direct DOU company listing is inactive; user also assessed practical match as near zero due to the Ukraine-focused source/context.
job-0006,not_started,closed,Sumsub,Junior+ Frontend Developer,Junior+,https://careers.sumsub.com/jobs/7511769-junior-frontend-developer,https://hirify.me/jobs/434960-junior-plus-frontend-developer-react,Hirify,Remote,Global,React; Next.js; TypeScript; SCSS; GraphQL; Framer Motion; GSAP; Headless WordPress,Unknown,,2026-08-09,,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-09,Excellent stack and level fit but the official Sumsub careers page is no longer active.
job-0007,not_started,closed,Pixel Systems,Associate Frontend Developer,Associate,https://ch.linkedin.com/jobs/view/associate-frontend-developer-at-pixel-systems-4434116983,https://jaabz.com/jobs/240394-associate-frontend-developer,Jaabz,"Zurich, Switzerland / Remote",Unclear,JavaScript; React; TypeScript; HTML; CSS; REST APIs; GitHub; Postgres,Unknown,2026-08-09,2026-08-09,8.5,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-09,Listing is inactive in the source and no longer accepts applications.
job-0008,not_started,closed,Alpine Business Consulting,Junior React Developer,Junior,https://de.linkedin.com/jobs/view/junior-react-developer-at-alpine-business-consulting-4446435716,https://jaabz.com/jobs/242747-junior-react-developer,Jaabz,"Berlin, Germany / Remote",Unclear,JavaScript; React; HTML; CSS; Git; APIs; Data Dashboards,Unknown,2026-08-09,2026-08-09,9,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-09,Listing is inactive in the source and no longer accepts applications.
job-0009,not_started,closed,Bavarian Capital,Frontend Engineer Intern,Intern,https://ch.linkedin.com/jobs/view/frontend-engineer-intern-at-bavarian-capital-4438983584,https://jaabz.com/jobs/247515-frontend-engineer-intern,Jaabz,"Geneva, Switzerland / Remote",Unclear,JavaScript; React; HTML; CSS; Git; Responsive Design,Unknown,2026-07-13,2026-08-09,,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-09,Very strong level fit but the direct LinkedIn listing says applications are no longer accepted.
job-0010,not_started,closed,Bavarian Capital,Graduate Frontend Developer,Graduate,https://ch.linkedin.com/jobs/view/graduate-frontend-developer-at-bavarian-capital-4438999244,https://jaabz.com/jobs/247419-graduate-frontend-developer,Jaabz,"Zurich, Switzerland / Remote",Unclear,JavaScript; React; Vue; Angular; HTML; CSS; Git; Responsive Design,Unknown,2026-07-13,2026-08-09,,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-09,Excellent graduate-level fit but the direct LinkedIn listing says applications are no longer accepted.
job-0011,applied,unknown,Primer,Join our Talent Community,Unknown,https://jobs.ashbyhq.com/primer.io/6aaaf2e8-a90e-484f-a587-505f200d1927,https://jobs.ashbyhq.com/primer.io/6aaaf2e8-a90e-484f-a587-505f200d1927,Company Careers,Europe,Europe,Frontend; React; TypeScript; UI Engineering,Unknown,,2026-08-09,8,Applied,,2026-08-09,,,,,no,,,,unknown,unknown,2026-08-09,Application submitted by user to Primer Talent Community; CV version not confirmed.
job-0012,applied,unknown,Yoko Co,Front-End WordPress Developer,Unknown,https://weworkremotely.com/remote-jobs/yoko-co-front-end-wordpress-developer,https://weworkremotely.com/remote-jobs/yoko-co-front-end-wordpress-developer,We Work Remotely,Anywhere in the World,Global,WordPress; Gutenberg; HTML; CSS; JavaScript; React; Git; GitHub; CI/CD,Unknown,2026-08-04,2026-08-09,7.5,Applied,,2026-08-10,,,,,,,,,unknown,unknown,2026-08-10,Application submitted by user; strong markup and frontend overlap; WordPress and Gutenberg are the main stretch.
job-0013,not_started,unknown,Hook & Ladder,Web Developer,Junior/Middle,https://weworkremotely.com/remote-jobs/hook-ladder-web-developer,https://weworkremotely.com/remote-jobs/hook-ladder-web-developer,We Work Remotely,Remote worldwide,Global,WordPress; Elementor; HTML; CSS; JavaScript; Accessibility; Responsive Design; Git; Shopify; Wix,Unknown,,2026-08-09,6.5,None,other,,,,,,,,,,unknown,unknown,2026-08-10,No free application route available on We Work Remotely and no official application form for this role could be confirmed.
job-0014,applied,unknown,OnTheGoSystems,AI-Native Software Developer,Unknown,https://weworkremotely.com/remote-jobs/onthegosystems-ai-native-software-developer,https://weworkremotely.com/remote-jobs/onthegosystems-ai-native-software-developer,We Work Remotely,Anywhere in the World,Global,AI; Software Development; SQL; Backend; Automation,Unknown,2026-08-09,2026-08-09,5,Applied,,2026-08-10,,,,,,,,,unknown,unknown,2026-08-10,Application submitted by user; broad AI-native software role and a significant stretch beyond the current frontend focus.
job-0015,not_started,closed,Cleo AI,Engineer (React/React Native),Junior/Middle,https://app.welcometothejungle.com/jobs/M9_8nKrY,https://app.welcometothejungle.com/jobs/M9_8nKrY,Welcome to the Jungle,London / Remote Europe and UK,Europe,React; React Native; TypeScript,Unknown,,2026-08-09,9,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-10,Vacancy closed before application; no other similar suitable roles found at the company.
job-0016,applied,unknown,Amplemarket,Frontend Software Engineer,Junior/Middle,https://job-boards.greenhouse.io/amplemarket/jobs/4488062101,https://app.welcometothejungle.com/jobs/DfDP1lsv,Welcome to the Jungle,Remote EMEA / LATAM,EMEA,React; JavaScript; HTML; CSS; Ruby on Rails; PostgreSQL; Elasticsearch; Redis,Unknown,,2026-08-09,8.5,Applied,,2026-08-10,,,,,,,,,unknown,unknown,2026-08-10,Application submitted by user; official role is remote EMEA/LATAM and does not require experience with the exact stack.
job-0017,not_started,closed,FACEIT,Frontend Software Engineer,Middle,https://app.welcometothejungle.com/jobs/yN68pkhG,https://app.welcometothejungle.com/jobs/yN68pkhG,Welcome to the Jungle,Remote Europe and UK,Europe,React; TypeScript; Redux; Next.js; HTML; CSS; Testing,Unknown,,2026-08-09,7,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-10,Vacancy closed before application; no other similar suitable roles currently open at FACEIT.
job-0018,not_started,unknown,epilot,Senior/Staff Product Engineer (Frontend),Senior,https://epilot.recruitee.com/l/de/o/senior-product-engineer-frontend,https://www.welcometothejungle.com/fr/companies/epilot/jobs/senior-staff-product-engineer-frontend-m-f-d_koln_v3lpml7i,Welcome to the Jungle,Cologne / Remote Europe,Europe,React; TypeScript; JavaScript; HTML; CSS; Svelte; Webpack; ESLint; GraphQL; Node.js; AWS; GitLab CI/CD,Unknown,,2026-08-09,6.5,None,seniority_too_high,,,,,,,,,,unknown,unknown,2026-08-11,Role is clearly Senior/Staff level and requires substantially more senior professional JavaScript experience than the current target profile.
job-0019,not_started,closed,Majestic RP,Frontend Developer (Vue),Junior,https://majestic-rp.ru/job/14,https://hirify.me/jobs/782282-frontend-developer-vue,Hirify,Remote,Unclear,Vue 3; TypeScript; Pinia; Vuex; SCSS; Vite; Webpack; Socket.io; Git,Unknown,,2026-08-10,,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-10,"Fresh on Hirify, but the official Majestic RP URL returns vacancy not found/removed; no application is possible. Hirify explicitly said React candidates with 1+ year could be considered if willing to switch to Vue."
job-0020,not_started,unknown,Delta Capita,Frontend Engineer (SaaS),Unknown,https://careersdeltacapita.recruitee.com/o/frontend-engineer-react-poland-2,https://hirify.me/jobs/793795-frontend-engineer-react-typescript,Hirify,"Dublin, Ireland",Country-specific,React; TypeScript; Vite; REST APIs; SaaS; Jest; React Testing Library; Mobile Web,Unknown,,2026-08-10,,None,work_authorization,,,,,,,,,,unknown,unknown,2026-08-10,"Official application is live; permanent Dublin role with remote/hybrid options, but a valid Irish work permit is mandatory."
job-0021,not_started,closed,Zenitech,Frontend Developer (React),Unknown,https://zenitech.co.uk/careers/open-positions/,https://hirify.me/jobs/793908-frontend-developer-react-typescript,Hirify,Romania / Hungary / Lithuania,Country-specific,JavaScript; TypeScript; React; Redux; Jest; Node.js; AWS; MSSQL,Unknown,,2026-08-10,,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-10,"Hirify lists the role as recent, but Zenitech's official open-positions page checked on 2026-08-10 has no frontend roles; the listing is treated as closed/stale."
job-0022,not_started,unknown,Canonical,"Web Frontend Engineer - JS, CSS, React, Flutter",Junior/Middle,https://canonical.com/careers/5150422/web-frontend-engineer-js-css-react-flutter-remote,https://hirify.me/jobs/707923-web-ui-engineer-react-flutter,Hirify,Worldwide,Global,JavaScript; TypeScript; React; Flutter; CSS; REST APIs; Linux; Accessibility; Web Performance,Unknown,,2026-08-10,8.5,None,other,,,,,,,,,,unknown,unknown,2026-08-12,User reviewed the Canonical application path and confirmed on 2026-08-12 that the role requires stronger computer-science/theory knowledge than is realistic for the current application strategy; removed from the active pipeline.
job-0023,not_started,unknown,Canonical,Web Developer,Junior/Middle,https://canonical.com/careers/2804965/web-developer-remote,https://hirify.me/companies/canonical,Hirify,EMEA,EMEA,HTML; CSS; SCSS; JavaScript; TypeScript; React; Git; Accessibility; Web Performance; SEO,Unknown,,2026-08-10,9,None,other,,,,,,,,,,unknown,unknown,2026-08-12,User reviewed the Canonical application path and confirmed on 2026-08-12 that the role requires stronger computer-science/theory knowledge than is realistic for the current application strategy; removed from the active pipeline.
job-0024,not_started,closed,Ruby Labs,CMS Template Engineer,Middle,https://rubylabs.com/careers/,https://hirify.me/jobs/720403-cms-template-engineer-cms,Hirify,EU / Georgia / Serbia / Turkey / Ukraine,Europe,CMS; Content Modeling; Conditional Logic; Document Automation; Content Operations; ChatGPT; Claude,Unknown,,2026-08-10,8,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-10,User confirmed the vacancy is closed on 2026-08-10; no application submitted.
job-0025,not_started,closed,Game Gears,Playable Ads Developer,Middle,https://www.gdtalents.com/job/playable-ads-developer-6adfc,https://hirify.me/jobs/313523-playable-ads-developer,Hirify,Remote worldwide,Global,JavaScript; HTML; CSS; Playable Ads; Canvas; WebGL; Event Tracking; Performance Marketing; PlayCanvas; Phaser; PixiJS,Unknown,,2026-08-10,8.5,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-10,User confirmed the vacancy is closed on 2026-08-10; no application submitted.
job-0026,applied,unknown,Sigma Software,Junior JavaScript Developer,Junior,https://career.sigma.software/uk/vacancy/junior-javascript-developer-4/,https://career.sigma.software/uk/vacancy/junior-javascript-developer-4/,Manual,Europe / Albania / Romania / Asia / Uzbekistan / Ukraine,Europe,JavaScript; HTML; CSS; REST APIs; jQuery; Browser Debugging; Event Tracking; AdTech; PHP; Airflow,Unknown,,2026-08-07,8.5,Applied,,2026-08-10,,,,,,,,,unknown,unknown,2026-08-10,Application submitted by user on 2026-08-10; CV version not confirmed.
job-0027,not_started,unknown,Skyrocket Studios,Junior Web Developer,Junior,https://skyrocketstudios.applytojob.com/apply/Ezys3uxWB1/Junior-Web-Developer,https://hirify.me/jobs/700716-junior-web-developer-react,Hirify,Philippines / Remote,Country-specific,React; JavaScript; HTML; CSS; WordPress; Shopify; PHP; Liquid; REST APIs; GTM; GA4,"₱18,000–₱20,000/month",,2026-08-10,,None,work_authorization,,,,,,,,,,unknown,unknown,2026-08-10,Official application form requires the candidate to be based in the Philippines and legally authorized to work there.
job-0028,not_started,unknown,Storyteller,Junior Web Developer,Junior,https://www.getstoryteller.com/careers/junior-web-developer-romania,https://hirify.me/jobs/250642-junior-web-developer,Hirify,Romania,Country-specific,TypeScript; React; Web SDKs; APIs; Testing; CI; AI-assisted Coding,"Up to RON 120,000",,2026-08-10,,None,geo_restriction,,,,,,,,,,unknown,unknown,2026-08-10,"Excellent junior product-engineering shape, but the official role is fully remote only for candidates located in Romania."
job-0029,not_started,unknown,Undisclosed,Junior Web Developer (WordPress/PHP),Junior,,https://hirify.me/jobs/588196-junior-web-developer-wordpressphp,Hirify,Serbia / Ukraine / Russia,Country-specific,WordPress; PHP; HTML; CSS; JavaScript; Cloudflare; DNS; Linux; SEO,Unknown,,2026-08-10,,None,stack_mismatch,,,,,,,,,,unknown,unknown,2026-08-10,"Geo-compatible in Serbia, but the role is WordPress/PHP plus hosting/DNS/email infrastructure and requires an 18:00–03:00 CET night shift; too far from the frontend product target."
job-0030,not_started,unknown,Undisclosed,Junior Frontend Developer (TypeScript),Junior,,https://hirify.me/jobs/782813-junior-frontend-developer-typescript,Hirify,Remote,Unclear,TypeScript; AI Tools,$400 part-time,,2026-08-10,,None,salary_too_low,,,,,,,,,,unknown,unknown,2026-08-10,"Part-time remote junior role; advertised pay is $400, below the profile minimum, and the posting provides almost no company or scope detail."
job-0031,not_started,closed,DraftKings,"Software Engineer, Frontend (iGaming)",Junior,,https://hirify.me/jobs/747935-software-engineer-frontend-igaming,Hirify,Canada,Country-specific,JavaScript; React; Vue; Angular; HTML; CSS; Accessibility; Automated Testing,Unknown,,2026-08-10,,None,closed_before_application,,,,,,,,,,unknown,unknown,2026-08-10,Hirify marks the listing archived; the role also required the candidate to be based in Canada.
